date,Brazil,China,EU27 & UK,France,Germany,India,Italy,Japan,ROW,Russia,Spain,UK,US
2019-01-01,0.096799,14.8161,1.88649,0.051217,0.315002,3.34922,0.168149,1.2958,8.57127,2.84668,0.130501,0.186637,3.97085
2019-01-02,0.116758,14.5771,2.83332,0.105528,0.561079,3.3902,0.23834,1.27251,9.32496,2.97014,0.152677,0.365835,4.62753
2019-01-03,0.113519,14.132,3.56955,0.12109,0.982588,3.42797,0.255168,1.32794,9.6919,3.07002,0.188904,0.4295,4.45385
2019-01-04,0.102161,14.6018,3.53862,0.140027,0.870928,3.46134,0.292213,1.47024,9.83178,3.05743,0.218396,0.39776,4.36234
2019-01-05,0.109161,14.5936,3.04942,0.146917,0.698483,3.43529,0.253447,1.48379,9.40464,3.06123,0.174959,0.333166,4.04054
2019-01-06,0.1113,14.7007,3.12783,0.139567,0.882074,3.26651,0.228273,1.5419,9.13709,3.05714,0.134228,0.335864,3.45232
2019-01-07,0.101731,14.5386,3.43634,0.142696,0.964714,3.36125,0.350037,1.76473,10.0198,3.07385,0.183738,0.220032,3.8897
2019-01-08,0.105307,14.7529,3.11418,0.131027,0.53273,3.4781,0.392749,1.84508,10.2595,3.11757,0.18977,0.239065,3.79456
2019-01-09,0.108397,14.8133,3.45073,0.127545,0.724917,3.46866,0.371103,1.88495,10.1516,3.12845,0.170085,0.369375,4.33659
2019-01-10,0.10934,15.1046,4.00906,0.15633,1.11049,3.47415,0.373494,1.97329,10.1058,3.18552,0.184124,0.420213,4.8291
2019-01-11,0.107051,15.371,3.80532,0.168409,1.00235,3.52791,0.401238,1.89359,10.0539,3.21951,0.201256,0.355768,4.96041
2019-01-12,0.121771,14.9122,2.80139,0.13604,0.614574,3.50735,0.290783,1.78521,9.76942,3.17151,0.160062,0.149129,4.58074
2019-01-13,0.096518,14.4315,2.22136,0.058335,0.336406,3.32774,0.254145,1.56038,9.30289,3.03077,0.154237,0.128975,4.84004
2019-01-14,0.145747,14.382,3.10596,0.132063,0.573922,3.2365,0.334335,1.64794,10.4551,3.05405,0.198744,0.317362,5.39151
2019-01-15,0.147708,14.5881,3.30521,0.153448,0.710318,3.32119,0.359712,1.91367,10.7344,3.0163,0.232102,0.251296,5.35302
2019-01-16,0.169617,14.6155,3.4528,0.156832,0.74796,3.40117,0.390263,1.86373,10.7244,3.04642,0.23257,0.289118,5.28448
2019-01-17,0.174577,14.6815,3.54957,0.15591,0.79865,3.4199,0.392669,1.85381,10.7301,3.09814,0.216869,0.332577,5.19931
2019-01-18,0.174061,14.5633,3.9843,0.180078,1.1269,3.47916,0.384282,1.84616,10.7038,3.0706,0.229993,0.356109,4.56109
2019-01-19,0.082767,14.4315,3.70553,0.161311,1.08459,3.47291,0.333815,1.65968,10.1861,2.99495,0.180995,0.336611,4.40997
2019-01-20,0.079695,13.9919,3.52695,0.157567,1.07521,3.34785,0.297159,1.57529,9.76126,3.00009,0.157953,0.338506,4.97959
